iter	Passed	Remaining
0	1	1513
1	2	1255
2	3	1095
3	3	991
4	4	934
5	5	899
6	6	865
7	6	866
8	7	870
9	8	875
10	10	946
11	11	945
12	12	936
13	13	919
14	13	904
15	14	888
16	15	875
17	16	910
18	17	906
19	18	901
20	19	891
21	19	884
22	20	890
23	21	887
24	22	886
25	23	883
26	24	878
27	25	875
28	25	870
29	26	866
30	27	861
31	28	860
32	29	858
33	30	856
34	31	871
35	32	869
36	33	865
37	34	861
38	34	858
39	35	855
40	36	851
41	37	846
42	37	843
43	38	839
44	39	838
45	40	836
46	41	833
47	41	832
48	42	830
49	43	829
50	44	827
51	45	826
52	46	829
53	47	831
54	48	828
55	48	825
56	49	823
57	50	821
58	51	820
59	52	820
60	53	819
61	54	817
62	54	815
63	55	812
64	56	812
65	57	810
66	57	807
67	58	804
68	59	802
69	60	801
70	61	805
71	62	805
72	63	805
73	64	803
74	65	801
75	65	800
76	66	798
77	67	797
78	68	796
79	68	793
80	69	790
81	70	788
82	70	782
83	71	779
84	72	777
85	73	776
86	73	774
87	74	772
88	75	771
89	76	772
90	77	774
91	78	774
92	79	772
93	79	770
94	80	769
95	81	767
96	82	766
97	83	764
98	83	763
99	84	761
100	85	760
101	86	765
102	87	764
103	88	763
104	89	762
105	90	761
106	92	770
107	93	772
108	94	774
109	95	773
110	96	773
111	97	772
112	98	775
113	100	779
114	101	779
115	102	777
116	102	774
117	103	773
118	104	771
119	104	769
120	105	767
121	106	767
122	108	774
123	109	773
124	110	771
125	110	769
126	111	768
127	112	767
128	113	767
129	114	765
130	115	764
131	115	762
132	116	760
133	117	758
134	118	756
135	118	755
136	119	753
137	121	759
138	122	759
139	123	757
140	124	756
141	124	753
142	125	752
143	126	751
144	127	751
145	128	749
146	128	747
147	129	746
148	130	744
149	131	742
150	131	741
151	132	739
152	133	737
153	134	736
154	134	735
155	136	740
156	137	739
157	138	738
158	139	737
159	140	735
160	140	732
161	141	731
162	142	729
163	142	728
164	143	726
165	144	725
166	144	723
167	145	722
168	146	721
169	147	720
170	148	719
171	149	718
172	150	718
173	151	718
174	152	718
175	153	716
176	153	715
177	154	714
178	155	713
179	156	711
180	157	711
181	157	710
182	158	708
183	159	707
184	160	706
185	161	705
186	162	705
187	163	704
188	163	703
189	164	701
190	165	701
191	166	701
192	167	700
193	168	698
194	168	697
195	169	695
196	170	695
197	171	694
198	172	692
199	172	691
200	173	690
201	174	689
202	175	688
203	176	687
204	176	685
205	177	684
206	178	683
207	179	682
208	179	680
209	181	681
210	182	680
211	182	679
212	183	678
213	184	677
214	185	678
215	186	677
216	187	676
217	188	675
218	189	674
219	189	673
220	190	672
221	191	670
222	192	669
223	192	668
224	193	666
225	194	665
226	195	664
227	196	663
228	196	662
229	197	661
230	198	660
231	199	660
232	200	659
233	201	658
234	201	656
235	202	655
236	203	653
237	203	652
238	204	651
239	205	650
240	206	649
241	206	647
242	207	646
243	208	645
244	208	643
245	209	642
246	211	644
247	212	643
248	212	641
249	213	640
250	214	638
251	214	638
252	215	637
253	216	636
254	217	635
255	218	633
256	218	632
257	219	631
258	220	630
259	220	628
260	221	627
261	222	626
262	223	625
263	223	624
264	224	623
265	225	623
266	226	622
267	227	621
268	228	620
269	229	619
270	230	618
271	230	617
272	231	616
273	232	615
274	233	614
275	233	613
276	234	612
277	235	611
278	236	610
279	237	609
280	237	608
281	238	607
282	239	606
283	239	604
284	241	605
285	242	604
286	243	605
287	244	604
288	245	603
289	246	602
290	246	601
291	247	600
292	248	599
293	249	598
294	249	597
295	250	596
296	251	595
297	252	594
298	252	592
299	253	591
300	254	591
301	256	592
302	257	592
303	258	591
304	259	590
305	260	589
306	260	588
307	261	587
308	262	586
309	263	585
310	264	584
311	264	583
312	265	582
313	266	581
314	267	580
315	267	579
316	268	579
317	269	578
318	270	577
319	272	578
320	273	577
321	274	578
322	275	577
323	276	576
324	277	575
325	277	574
326	278	573
327	279	573
328	280	572
329	281	571
330	282	570
331	282	569
332	283	568
333	284	567
334	285	566
335	287	567
336	288	567
337	289	566
338	290	565
339	290	564
340	291	563
341	292	562
342	292	561
343	293	560
344	294	558
345	295	557
346	295	556
347	296	555
348	297	554
349	297	552
350	298	551
351	299	550
352	302	553
353	304	555
354	305	555
355	306	554
356	307	553
357	307	552
358	308	551
359	309	550
360	310	549
361	311	548
362	311	547
363	312	546
364	313	545
365	314	544
366	314	543
367	318	546
368	319	546
369	320	545
370	321	544
371	322	543
372	323	543
373	323	542
374	324	540
375	325	540
376	326	539
377	327	538
378	327	536
379	328	535
380	329	534
381	329	533
382	332	536
383	334	536
384	335	536
385	336	535
386	337	534
387	337	533
388	338	531
389	339	530
390	340	529
391	340	528
392	341	527
393	342	526
394	343	525
395	343	524
396	344	523
397	345	522
398	348	525
399	350	525
400	351	524
401	352	524
402	353	523
403	354	522
404	354	521
405	355	520
406	356	519
407	356	517
408	357	516
409	358	515
410	359	514
411	359	513
412	362	514
413	363	514
414	364	513
415	365	512
416	365	511
417	366	510
418	367	509
419	367	508
420	368	507
421	369	506
422	370	505
423	371	504
424	372	503
425	373	502
426	373	501
427	374	500
428	378	503
429	379	503
430	380	502
431	381	501
432	381	499
433	382	498
434	383	498
435	384	497
436	385	496
437	385	495
438	386	494
439	387	493
440	388	492
441	389	491
442	392	493
443	393	492
444	394	491
445	395	490
446	395	489
447	396	488
448	397	487
449	398	486
450	398	485
451	399	484
452	400	483
453	401	482
454	401	481
455	402	480
456	403	479
457	404	478
458	405	478
459	406	477
460	407	476
461	408	475
462	409	474
463	409	473
464	410	472
465	411	471
466	412	470
467	412	469
468	413	468
469	414	467
470	415	466
471	415	465
472	416	464
473	417	463
474	418	462
475	418	460
476	421	462
477	423	461
478	423	460
479	424	459
480	425	458
481	425	457
482	427	457
483	427	456
484	428	455
485	429	454
486	429	452
487	430	451
488	431	450
489	432	450
490	433	449
491	437	451
492	438	450
493	439	449
494	440	448
495	440	447
496	441	446
497	442	445
498	443	444
499	443	443
500	444	442
501	445	441
502	446	440
503	446	439
504	447	438
505	448	437
506	449	436
507	451	437
508	452	436
509	453	435
510	454	434
511	455	433
512	456	433
513	457	432
514	457	431
515	458	430
516	459	429
517	460	428
518	460	427
519	464	429
520	466	428
521	467	428
522	468	427
523	469	426
524	469	425
525	470	424
526	471	423
527	472	422
528	473	421
529	474	420
530	475	420
531	476	419
532	479	420
533	480	419
534	481	418
535	482	417
536	483	416
537	483	415
538	485	414
539	485	413
540	486	412
541	487	411
542	488	410
543	489	410
544	490	409
545	492	409
546	495	410
547	496	409
548	497	408
549	497	407
550	498	406
551	499	405
552	500	404
553	501	403
554	502	402
555	503	401
556	504	400
557	504	399
558	505	398
559	509	400
560	512	400
561	513	399
562	514	399
563	515	398
564	516	397
565	517	397
566	518	396
567	519	395
568	520	394
569	524	395
570	525	395
571	526	394
572	528	393
573	529	392
574	530	391
575	531	391
576	532	390
577	533	389
578	535	389
579	542	392
580	543	392
581	544	391
582	546	390
583	547	390
584	551	390
585	555	392
586	557	392
587	558	391
588	559	390
589	560	389
590	561	388
591	562	387
592	563	386
593	564	385
594	565	384
595	566	383
596	567	382
597	571	384
598	572	383
599	573	382
600	574	381
601	575	380
602	576	379
603	577	378
604	578	377
605	579	376
606	579	375
607	580	374
608	581	373
609	582	372
610	587	373
611	587	372
612	588	371
613	589	370
614	590	369
615	591	368
616	592	367
617	593	366
618	594	365
619	595	364
620	595	363
621	596	362
622	599	362
623	601	362
624	602	361
625	603	360
626	604	359
627	605	358
628	607	358
629	608	357
630	608	356
631	609	355
632	610	354
633	614	354
634	615	353
635	615	352
636	616	351
637	617	350
638	619	349
639	619	348
640	620	347
641	621	346
642	623	346
643	624	345
644	625	344
645	626	343
646	628	342
647	629	342
648	630	341
649	631	340
650	632	338
651	633	338
652	634	337
653	635	336
654	636	335
655	637	334
656	637	333
657	638	332
658	639	330
659	640	329
660	642	329
661	643	328
662	644	327
663	645	326
664	646	325
665	647	324
666	659	329
667	678	336
668	678	335
669	680	334
670	681	333
671	682	333
672	683	332
673	684	331
674	685	330
675	687	329
676	688	328
677	690	328
678	692	327
679	693	326
680	694	325
681	695	324
682	696	323
683	697	322
684	698	320
685	698	319
686	699	318
687	700	317
688	701	316
689	702	315
690	705	315
691	707	314
692	708	313
693	710	313
694	711	312
695	712	311
696	713	310
697	714	308
698	714	307
699	716	306
700	717	305
701	721	306
702	722	305
703	723	304
704	724	303
705	725	302
706	726	301
707	727	300
708	728	298
709	731	298
710	736	299
711	737	298
712	738	297
713	739	296
714	740	295
715	741	294
716	742	292
717	743	291
718	743	290
719	744	289
720	745	288
721	746	287
722	747	286
723	789	301
724	790	300
725	791	298
726	793	297
727	799	298
728	800	297
729	801	296
730	802	295
731	803	294
732	803	292
733	804	291
734	805	290
735	806	289
736	807	288
737	808	286
738	809	285
739	813	285
740	815	284
741	816	283
742	817	282
743	818	281
744	819	280
745	820	279
746	821	278
747	822	277
748	823	276
749	824	274
750	831	275
751	832	274
752	833	273
753	834	272
754	835	271
755	836	269
756	837	268
757	837	267
758	838	266
759	839	265
760	840	263
761	844	263
762	845	262
763	846	261
764	846	260
765	847	259
766	848	257
767	849	256
768	850	255
769	851	254
770	851	253
771	852	251
772	853	250
773	854	249
774	855	248
775	856	247
776	860	246
777	860	245
778	861	244
779	862	243
780	863	242
781	864	241
782	865	239
783	866	238
784	867	237
785	868	236
786	868	235
787	869	233
788	870	232
789	874	232
790	875	231
791	876	230
792	877	229
793	878	227
794	879	226
795	880	225
796	881	224
797	882	223
798	883	222
799	884	221
800	885	219
801	886	218
802	888	218
803	889	216
804	890	215
805	891	214
806	892	213
807	893	212
808	894	211
809	895	209
810	896	208
811	897	207
812	897	206
813	898	205
814	899	204
815	900	203
816	904	202
817	905	201
818	906	200
819	907	199
820	908	198
821	909	196
822	910	195
823	911	194
824	912	193
825	913	192
826	914	191
827	914	190
828	915	188
829	919	188
830	920	187
831	921	186
832	922	184
833	923	183
834	924	182
835	925	181
836	926	180
837	927	179
838	928	178
839	928	176
840	929	175
841	930	174
842	931	173
843	934	172
844	935	171
845	936	170
846	937	169
847	938	168
848	939	167
849	940	165
850	941	164
851	941	163
852	942	162
853	943	161
854	944	160
855	945	159
856	946	157
857	950	157
858	951	156
859	952	154
860	952	153
861	953	152
862	954	151
863	955	150
864	956	149
865	956	148
866	957	146
867	958	145
868	959	144
869	959	143
870	960	142
871	961	141
872	964	140
873	966	139
874	966	138
875	968	137
876	968	135
877	969	134
878	970	133
879	971	132
880	972	131
881	973	130
882	974	129
883	975	127
884	975	126
885	976	125
886	980	124
887	981	123
888	982	122
889	983	121
890	983	120
891	984	119
892	985	118
893	986	116
894	987	115
895	987	114
896	988	113
897	989	112
898	990	111
899	990	110
900	991	108
901	992	107
902	996	107
903	997	105
904	998	104
905	998	103
906	999	102
907	1000	101
908	1001	100
909	1002	99
910	1002	97
911	1003	96
912	1004	95
913	1004	94
914	1005	93
915	1006	92
916	1007	91
917	1010	90
918	1012	89
919	1012	88
920	1013	86
921	1014	85
922	1015	84
923	1016	83
924	1016	82
925	1017	81
926	1018	80
927	1019	79
928	1020	77
929	1021	76
930	1022	75
931	1022	74
932	1026	73
933	1027	72
934	1028	71
935	1029	70
936	1029	69
937	1030	68
938	1031	67
939	1032	65
940	1033	64
941	1034	63
942	1034	62
943	1035	61
944	1036	60
945	1036	59
946	1038	58
947	1042	57
948	1043	56
949	1043	54
950	1044	53
951	1045	52
952	1046	51
953	1046	50
954	1047	49
955	1048	48
956	1048	47
957	1049	46
958	1050	44
959	1051	43
960	1052	42
961	1055	41
962	1056	40
963	1057	39
964	1058	38
965	1059	37
966	1059	36
967	1060	35
968	1061	33
969	1062	32
970	1063	31
971	1063	30
972	1064	29
973	1065	28
974	1066	27
975	1067	26
976	1067	25
977	1070	24
978	1071	22
979	1072	21
980	1072	20
981	1073	19
982	1074	18
983	1075	17
984	1075	16
985	1076	15
986	1077	14
987	1078	13
988	1079	12
989	1080	10
990	1080	9
991	1081	8
992	1082	7
993	1085	6
994	1086	5
995	1087	4
996	1088	3
997	1088	2
998	1089	1
999	1090	0
